Please name one charity you have given to in the last five years.,"Do you wish to give to [QID165-ChoiceTextEntryValue]? If you do, we will donate an amount you specify from your payment on your behalf.",give_ind,How much do you wish to give?,amount,Why did you choose to give?,Why did you choose not to give?,Do you wish to give to another charity?,I feel [QID165-ChoiceTextEntryValue] is grateful.,grateful_num,I feel [QID165-ChoiceTextEntryValue] is greedy.,greedy_num,recency,frequency,loyalty,"How much did you give each year, on average, to [QID165-ChoiceTextEntryValue]?",monetary,What is your gender?,What is your age?,What is your annual income?,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",condition
Lonely Hearts Animal Rescue,No,0,NA,0,NA,I already gave them a large sum of money,No,Strongly agree,5,Disagree,2,2021,1,nonloyal,500,500,Male,25 - 34,"$60,000 - $69,999",4 year degree,Control
Interfaith Food Shuttle,No,0,NA,0,NA,I need money quite badly right now. Household has income loss due to COVID.,No,Agree,4,Strongly disagree,1,2019,2,nonloyal,75,75,Male,35 - 44,"$70,000 - $79,999",Professional degree,Control
Audubon Society,Yes,1,0.5,0.5,Supports birds and earth restoration.,NA,NA,Strongly agree,5,Disagree,2,2021,5,loyal,75,75,Male,65 - 74,"$60,000 - $69,999",Professional degree,Control
St. Judes,Yes,1,0.2,0.2,They do good work and every little bit helps.,NA,NA,Neither agree nor disagree,3,Strongly disagree,1,2021,5,loyal,250,250,Female,55 - 64,"$80,000 - $89,999",4 year degree,Treatment
Red Cross,Yes,1,0.5,0.5,They are a good organization to donate to.,NA,NA,Strongly agree,5,Strongly disagree,1,2019,3,nonloyal,200,200,Female,35 - 44,"$70,000 - $79,999",Some college,Treatment
Habitat for Humanity,No,0,NA,0,NA,I need the money at the moment,No,Strongly agree,5,Strongly disagree,1,2020,5,nonloyal,500,500,Male,55 - 64,"$40,000 - $49,999",2 year degree,Control
My Church,Yes,1,0.5,0.5,It is a small way I can help out,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,3000,3000,Male,55 - 64,"$30,000 - $39,999",Some college,Treatment
dana farber,Yes,1,0.5,0.5,your money. Mine is going many different places right now,NA,NA,Agree,4,Agree,4,2019,1,nonloyal,10,10,Male,45 - 54,"$100,000 - $149,999",Professional degree,Control
Dumb Friends League,Yes,1,0.5,0.5,Because they help animals in need,NA,NA,Strongly agree,5,Strongly disagree,1,2020,3,nonloyal,25,25,Female,18 - 24,"$30,000 - $39,999",4 year degree,Treatment
red cross,Yes,1,0.1,0.1,I only want to give the smallest percentage at the moment.,NA,NA,Agree,4,Strongly disagree,1,2021,1,nonloyal,25,25,Male,35 - 44,"$50,000 - $59,999",4 year degree,Control
st jude,No,0,NA,0,NA,I already donate a lot,No,Agree,4,Strongly disagree,1,2021,4,loyal,600,600,Female,25 - 34,"$70,000 - $79,999",4 year degree,Treatment
Huron Valley Humane Society,Yes,1,0.5,0.5,"I love HSHV. They are important to me, and I donate to them frequently.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,250,250,Female,55 - 64,"$100,000 - $149,999",Professional degree,Control
Red Cross,Yes,1,0.3,0.3,Red Cross seems passionate and generous in their work and doing their best to help others during times of COVID,NA,NA,Agree,4,Strongly disagree,1,2017,1,nonloyal,15,15,Male,18 - 24,"$30,000 - $39,999",4 year degree,Control
National Bail Fund network,No,0,NA,0,NA,"I'm just not in a position to be giving right now, and I have contributed regularly in the past.",No,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,100,100,Female,25 - 34,"$10,000 - $19,999",2 year degree,Control
Red Cross,Yes,1,0.2,0.2,"Why not? It might not be much, but every little bit counts when giving to good causes.",NA,NA,Agree,4,Disagree,2,2021,5,loyal,20,20,Male,45 - 54,"$10,000 - $19,999",2 year degree,Treatment
Save the children,Yes,1,0.1,0.1,Because they are in need and my contribution is needed.,NA,NA,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,50,50,Male,25 - 34,"$50,000 - $59,999",4 year degree,Control
Morris Animal Refuge,Yes,1,0.5,0.5,Because they are a trustworthy organization that has helped many animals escape euthanasia by finding them good homes.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,55 - 64,"$70,000 - $79,999",4 year degree,Treatment
Bay Area Outreach Program (BORP),Yes,1,0.3,0.3,I have supported and worked with them quite a bit growing up as well as fundraising for them. I know what they do for people with disabilities and how it helps my local community.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,"Around 1,000 dollars a year",1000,Male,18 - 24,"Less than $10,000",High school graduate,Control
St. Judes,No,0,NA,0,NA,I like to give when I feel is right and right now my family needs it more,No,Agree,4,Neither agree nor disagree,3,2019,1,nonloyal,100,100,Male,35 - 44,"$30,000 - $39,999",High school graduate,Control
Four Diamonds Fund,No,0,NA,0,NA,I have already donated recently,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,60,60,Female,18 - 24,"Less than $10,000",Some college,Control
Flagstaff Family Food Center,Yes,1,0.2,0.2,I like how that organization gives back,NA,NA,Agree,4,Disagree,2,2021,2,nonloyal,200,200,Female,25 - 34,"$100,000 - $149,999",4 year degree,Control
St. Jude,Yes,1,0.5,0.5,They were thankful for the original donation,NA,NA,Strongly agree,5,Strongly disagree,1,2020,4,nonloyal,100,100,Female,18 - 24,"$10,000 - $19,999",4 year degree,Treatment
The Rose Home Inc,Yes,1,0.5,0.5,They are a home for drug and alcohol addicted women that I used to serve on the board and know they need the money,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,500,500,Non-binary/third gender,35 - 44,"$70,000 - $79,999",4 year degree,Treatment
The Trevor Project,No,0,NA,0,NA,I am financially strained,No,Strongly agree,5,Strongly disagree,1,2021,4,loyal,100 USD,100,Female,25 - 34,"Less than $10,000",Professional degree,Treatment
Black Lives Matter,No,0,NA,0,NA,Because I prefer to give directly.,No,Agree,4,Strongly disagree,1,2021,2,nonloyal,I don't remember - several hundred,NA,Non-binary/third gender,35 - 44,"$10,000 - $19,999",Some college,Treatment
St. Judes,Yes,1,0.5,0.5,Because the work they do for children is invaluable.,NA,NA,Agree,4,Strongly disagree,1,2019,3,nonloyal,100,100,Female,35 - 44,"$70,000 - $79,999",High school graduate,Control
Los Angeles Food Bank,Yes,1,0.5,0.5,Because I believe it's a worthwhile cause.,NA,NA,Agree,4,Disagree,2,2020,1,nonloyal,100,100,Female,25 - 34,"$40,000 - $49,999",4 year degree,Control
Roane County Humane Society/ Animal Shelter,No,0,NA,0,NA,"I donate already from my personal account and prefer that any donation made come from my name, not from a different individual making a donation on my behalf.",No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,500,500,Female,25 - 34,"$50,000 - $59,999",Professional degree,Control
Houston Food Bank,Yes,1,0.5,0.5,I believe in their mission and know how well they help my community,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,250,250,Male,35 - 44,"$70,000 - $79,999",Some college,Control
st judes children research hospital,Yes,1,0.5,0.5,My donations help them in their fight agianst covid which has hurt many families around the world.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,5,5,Male,18 - 24,"$10,000 - $19,999",2 year degree,Control
American Heart Association,Yes,1,0.5,0.5,because it was the most,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,45 - 54,"$90,000 - $99,999",4 year degree,Treatment
National Parks Conservation Association,No,0,NA,0,NA,I already give them money every month.,No,Neither agree nor disagree,3,Disagree,2,2021,4,loyal,180,180,Female,25 - 34,"$50,000 - $59,999",Professional degree,Control
Philabundance,Yes,1,0.1,0.1,Philabundance is a wonderful organization that helps many people in my community. I try to give to this charity as often as I am able to.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,55 - 64,"$100,000 - $149,999",4 year degree,Treatment
Red Cross,Yes,1,0.5,0.5,This will be helpful for them,NA,NA,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,100,100,Male,18 - 24,"$50,000 - $59,999",4 year degree,Treatment
World Wildlife Fund,No,0,NA,0,NA,I enjoy donating and getting their socks. I also prefer to give directly.,No,Neither agree nor disagree,3,Neither agree nor disagree,3,2021,5,loyal,"50, I donate yearly and get the socks as a Christmas gift to myself.",50,Female,25 - 34,"$30,000 - $39,999",4 year degree,Treatment
St Jude,Yes,1,0.5,0.5,The work at St Jude benefits everyone,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,100,100,Female,65 - 74,"$30,000 - $39,999",Some college,Treatment
Salvation Army,Yes,1,0.3,0.3,I believe that the Salvation Army is a good organization and does a lot of good work for those in need.,NA,NA,Agree,4,Disagree,2,2021,2,nonloyal,800,800,Male,35 - 44,"$90,000 - $99,999",Professional degree,Control
Food Bank of Contra Costa and Solano,No,0,NA,0,NA,I have a monthly contribution set up,Yes,Agree,4,Strongly disagree,1,2021,5,loyal,250,250,Non-binary/third gender,55 - 64,"$60,000 - $69,999",Professional degree,Treatment
Goodwill,No,0,NA,0,NA,Don't want to,No,Strongly agree,5,Strongly disagree,1,2021,4,loyal,50,50,Female,25 - 34,"$40,000 - $49,999",Professional degree,Treatment
Ronald McDonald House,No,0,NA,0,NA,I've already donated recently.,No,Agree,4,Disagree,2,2021,5,loyal,100,100,Female,25 - 34,"$60,000 - $69,999",4 year degree,Treatment
planned parenthood,Yes,1,0.1,0.1,It's an organization I have supported in the past and will continue to support when I can,NA,NA,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,50,50,Female,35 - 44,"$40,000 - $49,999",4 year degree,Treatment
road dogs rescue,Yes,1,0.5,0.5,"They not only use donations, but they also raise funds by selling items. and the work they do fits my idea of what a rescue should do.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,2000,2000,Male,45 - 54,"$80,000 - $89,999",High school graduate,Control
Mission Arlington,Yes,1,0.1,0.1,Because they do good work in my city,NA,NA,Agree,4,Strongly disagree,1,2021,3,loyal,115,115,Male,35 - 44,"$60,000 - $69,999",4 year degree,Control
OCI,No,0,NA,0,NA,I give at a certain time a month when I get more money,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,200,200,Female,18 - 24,"$50,000 - $59,999",2 year degree,Control
The Jordan Porco Foundation,Yes,1,0.5,0.5,I chose to give because they support issues that are close to my family and are working to improve the world through mental health efforts.,NA,NA,Strongly agree,5,Strongly disagree,1,2020,1,nonloyal,50,50,Female,18 - 24,"Less than $10,000",Some college,Control
Doctors without Borders,Yes,1,0.1,0.1,Because I believe in their mission,NA,NA,Neither agree nor disagree,3,Disagree,2,2019,3,nonloyal,100,100,Female,18 - 24,"$10,000 - $19,999",4 year degree,Treatment
St. Judes,Yes,1,0.1,0.1,I agree with St. Jude's mission statement to find a cure for cancer,NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,5,5,Female,18 - 24,"$10,000 - $19,999",High school graduate,Control
church,Yes,1,0.5,0.5,because they help people,NA,NA,Strongly agree,5,Strongly agree,5,2021,5,loyal,1000,1000,Female,25 - 34,"$40,000 - $49,999",High school graduate,Treatment
American Foundation for Suicide Prevention,No,0,NA,0,NA,I already give once a year,No,Agree,4,Disagree,2,2021,4,loyal,50,50,Female,35 - 44,"$80,000 - $89,999",Some college,Treatment
Trevor Project,Yes,1,0.5,0.5,The work they do is vital the saving lives of LGBTQ youth,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,300,300,Female,35 - 44,"$80,000 - $89,999",Some college,Treatment
AsylumWorks,Yes,1,0.2,0.2,They're a fantastic organization and can use the money,NA,NA,Neither agree nor disagree,3,Disagree,2,2021,1,nonloyal,40,40,Female,18 - 24,"$40,000 - $49,999",Some college,Treatment
American Cancer Association,No,0,NA,0,NA,I give frequently,No,Strongly agree,5,Neither agree nor disagree,3,2021,4,loyal,100,100,Female,18 - 24,"$40,000 - $49,999",Professional degree,Control
paws across pittsburgh,Yes,1,0.5,0.5,it was the most amount but still not alot,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,15,15,Female,25 - 34,"$70,000 - $79,999",4 year degree,Treatment
prefer not to say,No,0,NA,0,NA,I need the extra money,No,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,10,10,Female,25 - 34,"$20,000 - $29,999",4 year degree,Treatment
Feed My Starving Children,Yes,1,0.5,0.5,It's only 50 cents - I can spare that much to give to a charity I usually donate 50 dollars to!,NA,NA,Agree,4,Disagree,2,2021,5,loyal,50,50,Female,25 - 34,"$40,000 - $49,999",4 year degree,Treatment
Animal Protective League,No,0,NA,0,NA,I already gave and we're trying to save money right now.,No,Agree,4,Disagree,2,2021,3,loyal,30,30,Female,35 - 44,"$60,000 - $69,999",4 year degree,Control
Project Purple,Yes,1,0.5,0.5,Because I support their mission and the money will be more meaningful to them than to me,NA,NA,Strongly agree,5,Disagree,2,2018,3,nonloyal,200,200,Female,25 - 34,"$40,000 - $49,999",4 year degree,Treatment
perfectly imperfect pups,Yes,1,0.5,0.5,because they help dogs find homes and receive medical treatment,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,10,10,Female,25 - 34,"$30,000 - $39,999",4 year degree,Control
Petco Foundation,No,0,NA,0,NA,Because I can donate the money myself.,No,Agree,4,Neither agree nor disagree,3,2020,2,nonloyal,20,20,Female,25 - 34,"$70,000 - $79,999",4 year degree,Control
Riley Hospital,No,0,NA,0,NA,The letter did not seem sincere,No,Strongly agree,5,Strongly disagree,1,2018,1,nonloyal,10,10,Female,18 - 24,"$60,000 - $69,999",Professional degree,Control
Red Cross,Yes,1,0.3,0.3,They deserve it.,NA,NA,Agree,4,Strongly disagree,1,2021,2,nonloyal,maybe $25,25,Female,18 - 24,"$10,000 - $19,999",4 year degree,Control
ASPCA,No,0,NA,0,NA,I could submit my own donation and be personally thanked and use it as a tax write-off.,No,Agree,4,Disagree,2,2021,3,loyal,$20 a month,240,Female,25 - 34,"$30,000 - $39,999",4 year degree,Treatment
American suicide prevention,Yes,1,0.5,0.5,I want to give what i can,NA,NA,Strongly agree,5,Strongly disagree,1,2020,3,nonloyal,20,20,Female,25 - 34,"$50,000 - $59,999",Some college,Control
Dallas Food Bank,Yes,1,0.1,0.1,I like Dallas Food bank,NA,NA,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,200,200,Female,18 - 24,"Less than $10,000",Some college,Treatment
ASPCA,No,0,NA,0,NA,I donate every single month a set amount of money!,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,300,300,Female,18 - 24,"$30,000 - $39,999",High school graduate,Control
amvets,Yes,1,0.3,0.3,they are a great organization,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,18 - 24,"More than $150,000",Some college,Treatment
The Trevor Project,Yes,1,0.5,0.5,It goes to a good cause,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,20,20,Female,18 - 24,"$70,000 - $79,999",Some college,Control
local animal shelter,Yes,1,0.5,0.5,they do important work and save animals,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,500,500,Female,18 - 24,"Less than $10,000",Some college,Control
Food for Lane County,Yes,1,0.2,0.2,Why not. I don't really need it.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,50,50,Female,45 - 54,"$60,000 - $69,999",4 year degree,Control
The Nature Conservatory,Yes,1,0.2,0.2,"The letter was pretty convincing, and I don't mind giving some of the money I make to this charity.",NA,NA,Agree,4,Disagree,2,2021,3,loyal,I am unsure. Probably $20-50,2050,Female,18 - 24,"$10,000 - $19,999",4 year degree,Treatment
Illini Chabad,No,0,NA,0,NA,I have already given to them this year,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,100,100,Female,18 - 24,"$20,000 - $29,999",Some college,Treatment
World Vision,Yes,1,0.5,0.5,I support this charity and know that it uses the money wisely.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,420,420,Female,35 - 44,"$100,000 - $149,999",Professional degree,Treatment
Service for Sight,Yes,1,0.5,0.5,I support this charity,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,25 - 34,"$40,000 - $49,999",4 year degree,Control
NAACP,Yes,1,0.5,0.5,the orginization does important work,NA,NA,Neither agree nor disagree,3,Neither agree nor disagree,3,2020,1,nonloyal,15,15,Female,18 - 24,"Less than $10,000",Some college,Control
Orphans of the Storm,No,0,NA,0,NA,I already have a donation method.,No,Agree,4,Disagree,2,2021,5,loyal,10% of my ebay sales,10,Female,45 - 54,"$30,000 - $39,999",4 year degree,Treatment
Communication Services for the Deaf and Hard of Hearing,Yes,1,0.5,0.5,Their cause is something that I believe in and I know that Covid has negatively impacted their revenue.,NA,NA,Strongly agree,5,Disagree,2,2021,3,loyal,20,20,Female,25 - 34,"$70,000 - $79,999",4 year degree,Treatment
THON,Yes,1,0.5,0.5,I believe in this mission,NA,NA,Strongly agree,5,Agree,4,2021,5,loyal,50,50,Female,18 - 24,"Less than $10,000",4 year degree,Treatment
Planned Parenthood,No,0,NA,0,NA,"Honestly, I'm doing surveys because I'm strapped for cash. I would give money if I had the ability to give.",No,Agree,4,Disagree,2,2021,3,loyal,20,20,Female,25 - 34,"Less than $10,000",4 year degree,Control
Gigi's Playhouse,No,0,NA,0,NA,I'm going to their gala in two weeks and made a massive donation already,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,200,200,Female,18 - 24,"$40,000 - $49,999",4 year degree,Control
Iowa Farm Sanctuary,Yes,1,0.5,0.5,The money is probably more helpful to the sanctuary and the animals they save and care for than it is to me,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,10,10,Female,18 - 24,"Less than $10,000",Some college,Control
ACLU,Yes,1,0.5,0.5,I strongly believe in their mission.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,25,25,Female,25 - 34,"$50,000 - $59,999",Professional degree,Control
Alzheimer's Association,No,0,NA,0,NA,Already gave this year,No,Agree,4,Disagree,2,2021,5,loyal,100,100,Female,18 - 24,"$90,000 - $99,999",4 year degree,Treatment
ASPCA,Yes,1,0.2,0.2,I adopted my dog from the ASPCA,NA,NA,Strongly agree,5,Disagree,2,2020,3,nonloyal,10,10,Female,18 - 24,"Less than $10,000",4 year degree,Treatment
Planned Parenthood,Yes,1,0.1,0.1,I support them,NA,NA,Agree,4,Strongly disagree,1,2021,4,loyal,50,50,Female,25 - 34,"More than $150,000",4 year degree,Control
BLM,No,0,NA,0,NA,Im also having financial hardships during COVID,No,Agree,4,Disagree,2,2021,1,nonloyal,200,200,Female,18 - 24,"$100,000 - $149,999",Some college,Control
Columbia Bail Fund,No,0,NA,0,NA,I am not sure if they are accepting donations,No,Strongly agree,5,Disagree,2,2020,1,nonloyal,50,50,Female,18 - 24,"Less than $10,000",4 year degree,Treatment
Downtown Boxing Gym Youth Program in Detroit,Yes,1,0.5,0.5,Because they are a great organization doing amazing work in the youth community.,NA,NA,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,25,25,Female,25 - 34,"$20,000 - $29,999",Professional degree,Treatment
Jewish United Federation,Yes,1,0.5,0.5,I support their cause and I belief they are responsible stewards of my money,NA,NA,Agree,4,Disagree,2,2021,3,loyal,75,75,Female,25 - 34,"$90,000 - $99,999",4 year degree,Control
Juvenile Diabetes Research Foundation,No,0,NA,0,NA,I give privately,No,Strongly agree,5,Strongly disagree,1,2019,3,nonloyal,500,500,Female,18 - 24,"$40,000 - $49,999",4 year degree,Control
St Judes,No,0,NA,0,NA,Because I have already given this month.,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,1200,1200,Female,25 - 34,"$20,000 - $29,999",Some college,Control
Hope Place,Yes,1,0.1,0.1,it is important to help others if we are able,NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,"Physical donations mostly (clothing, hygeine, etc.)",NA,Female,18 - 24,"Less than $10,000",4 year degree,Control
Dachshund Rescue,Yes,1,0.5,0.5,They need the money more than I do.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,50,50,Female,18 - 24,"Less than $10,000",High school graduate,Control
save our children,Yes,1,0.5,0.5,because i support save our children's mission,NA,NA,Strongly agree,5,Disagree,2,2020,3,nonloyal,20,20,Non-binary/third gender,25 - 34,"$100,000 - $149,999",4 year degree,Treatment
Goodwill,No,0,NA,0,NA,Just donated,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,200,200,Male,25 - 34,"More than $150,000",4 year degree,Control
Dana-Farber Cancer Institute - lung cancer research,No,0,NA,0,NA,the money I get from this survey is not enough to give to a charity,No,Agree,4,Strongly disagree,1,2020,1,nonloyal,400,400,Female,18 - 24,"$40,000 - $49,999",4 year degree,Control
Youth Education and Maternal Support Association,Yes,1,0.2,0.2,Because these people are supporting my community,NA,NA,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,45,45,Non-binary/third gender,18 - 24,"$20,000 - $29,999",Some college,Control
Foster Care Agency,No,0,NA,0,NA,I donate once per year to them as part of my christmas giving.,No,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,150,150,Female,25 - 34,"$30,000 - $39,999",Professional degree,Control
ACLU,Yes,1,0.5,0.5,I strongly support the values and work done by this organization.,NA,NA,Strongly agree,5,Strongly disagree,1,2020,3,nonloyal,100,100,Female,18 - 24,"$70,000 - $79,999",4 year degree,Treatment
Boston Childrens Hospital,Yes,1,0.5,0.5,they are a quality organization who helps children and need the money. Also you offered to donate which can only benefit me,NA,NA,Strongly agree,5,Disagree,2,2020,2,nonloyal,20,20,Female,18 - 24,"$10,000 - $19,999",Some college,Treatment
Martha's Kitchen,No,0,NA,0,NA,I give privately. I just made a contribution.,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,50,50,Female,55 - 64,"$100,000 - $149,999",Professional degree,Control
church,Yes,1,0.1,0.1,I support the church and it's goal to help others.,NA,NA,Strongly agree,5,Disagree,2,2021,5,loyal,500,500,Female,25 - 34,"$30,000 - $39,999",4 year degree,Treatment
planned parenthood,No,0,NA,0,NA,because I'm barely getting enough for this survey as it is and I already work for them,No,Agree,4,Disagree,2,2020,2,nonloyal,100,100,Female,18 - 24,"$100,000 - $149,999",Some college,Treatment
Planned Parenthood,Yes,1,0.1,0.1,Because it has benefitted me,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,30,30,Female,18 - 24,"More than $150,000",4 year degree,Control
American Red Cross,Yes,1,0.5,0.5,I trust their mission and they only do good from those around the world.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Female,18 - 24,"Less than $10,000",Some college,Treatment
Maine Needs,Yes,1,0.5,0.5,It is an organization that I believe in and trust and it gives directly back to my local community.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,50,50,Female,25 - 34,"$50,000 - $59,999",4 year degree,Control
Fair Fight,Yes,1,0.5,0.5,I believe in the cause.,NA,NA,Strongly agree,5,Strongly disagree,1,2018,1,nonloyal,30,30,Female,35 - 44,"$50,000 - $59,999",Professional degree,Treatment
Dressember,Yes,1,0.5,0.5,"The organization helps a cause that I feel strongly about, and I have a friend who is a strong advocate for the work they do.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,75,75,Female,18 - 24,"$30,000 - $39,999",4 year degree,Control
ASPCA,Yes,1,0.5,0.5,I like supporting organizations that help animals.,NA,NA,Agree,4,Disagree,2,2021,3,loyal,350,350,Male,45 - 54,"$70,000 - $79,999",Some college,Control
Camp Kesem,Yes,1,0.3,0.3,I really believe this charity does good for the community of children of cancer patients.,NA,NA,Strongly agree,5,Disagree,2,2021,1,nonloyal,50,50,Female,18 - 24,"More than $150,000",Some college,Control
Lakeside Animal Rescue,Yes,1,0.5,0.5,Because I like them,NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,100,100,Male,25 - 34,"$20,000 - $29,999",4 year degree,Treatment
goodwill,Yes,1,0.3,0.3,Because a small amount can have a big impact in charities.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,20,20,Female,18 - 24,"Less than $10,000",High school graduate,Treatment
Feed My Starving Children,No,0,NA,0,NA,I am a college student and I need to build up my wealth to make it in today's world,No,Strongly agree,5,Neither agree nor disagree,3,2018,1,nonloyal,20,20,Male,18 - 24,"Less than $10,000",Some college,Control
Light the Night,Yes,1,0.1,0.1,My aunt had leukemia and she loves this organization.,NA,NA,Agree,4,Disagree,2,2019,1,nonloyal,100 one time,100,Female,18 - 24,"$40,000 - $49,999",4 year degree,Control
Virginia Beach SPCA,Yes,1,0.5,0.5,They are my local animal shelter and helps my community with various pet services for low income families.,NA,NA,Strongly agree,5,Strongly disagree,1,2019,3,nonloyal,100,100,Female,25 - 34,"$50,000 - $59,999",4 year degree,Treatment
Kitten Krazy Adoption Center,Yes,1,0.5,0.5,Because they are a great organization and I want to help any way I can to help rescue cats and kittens.,NA,NA,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,50,50,Female,25 - 34,"$70,000 - $79,999",4 year degree,Control
Allied Services,Yes,1,0.5,0.5,"I believe in the importance of keeping pets with their owners, especially during times of illness",NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,30,30,Female,25 - 34,"$40,000 - $49,999",Professional degree,Treatment
Crisis Text Line,Yes,1,0.3,0.3,Because I think the work being done by the organization is valuable and any donation of any size can help support,NA,NA,Strongly agree,5,Strongly disagree,1,2020,1,nonloyal,5,5,Female,18 - 24,"Less than $10,000",High school graduate,Control
GraceLife Chapel,Yes,1,0.5,0.5,I love GraceLife Chapel and I want to see their ministry thrive!,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,2000,2000,Female,25 - 34,"$10,000 - $19,999",4 year degree,Treatment
David Sheldrick,Yes,1,0.5,0.5,COVID has taken a toll on all charity organizations,NA,NA,Neither agree nor disagree,3,Disagree,2,2020,2,nonloyal,200,200,Female,18 - 24,"Less than $10,000",Professional degree,Treatment
make a wish,No,0,NA,0,NA,i just donated last week,No,Agree,4,Disagree,2,2021,2,nonloyal,300,300,Female,18 - 24,"$70,000 - $79,999",4 year degree,Treatment
ASPCA,Yes,1,0.3,0.3,Because I support the cause,NA,NA,Agree,4,Strongly disagree,1,2021,4,loyal,20,20,Female,18 - 24,"$40,000 - $49,999",Some college,Control
African Wildlife Foundation,Yes,1,0.5,0.5,I truly believe in them as a whole and what they stand by. I have been with them for many years now and know they are true to their word.,NA,NA,Agree,4,Disagree,2,2020,2,nonloyal,50,50,Female,25 - 34,"$70,000 - $79,999",Some college,Control
American Civil Liberties Union,Yes,1,0.2,0.2,Because I respect and appreciate the work the ACLU does. I think it is very important.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,10,10,Female,25 - 34,"$30,000 - $39,999",4 year degree,Control
planned parenthood,Yes,1,0.5,0.5,they do a wonderful job supporting women,NA,NA,Strongly agree,5,Disagree,2,2021,2,nonloyal,100,100,Female,18 - 24,"$90,000 - $99,999",Some college,Treatment
American Heart Foundation,Yes,1,0.5,0.5,They need it more than i do,NA,NA,Strongly agree,5,Strongly disagree,1,2018,1,nonloyal,100,100,Female,18 - 24,"$30,000 - $39,999",Some college,Treatment
Black Lives Matter,Yes,1,0.5,0.5,Because I care about supporting the cause.,NA,NA,Strongly agree,5,Disagree,2,2020,1,nonloyal,25,25,Female,18 - 24,"$40,000 - $49,999",4 year degree,Control
ASPCA,Yes,1,0.5,0.5,They need help and its a small amount so it doesnt affect me much,NA,NA,Agree,4,Disagree,2,2021,3,loyal,35,35,Female,25 - 34,"$40,000 - $49,999",Some college,Control
st. judes research hospital,Yes,1,0.5,0.5,giving to kids in need is giving hope for the future,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,25 - 34,"$10,000 - $19,999",Professional degree,Treatment
